SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,November-17-2021,Single Family Residential,1640 Dee Ct #21,Forest Grove,OR,97116,489900.0,4.0,2.5,"Hillsboro, Forest Grove",1887.0,3484.0,2021.0,45.0,260.0,38.0,Sold,,,https://www.redfin.com/OR/Forest-Grove/1640-Dee-CT-97116/unit-21/home/175572072,RMLS,21178962.0,N,Y,45.51668,-123.119187
PAST SALE,November-29-2021,Single Family Residential,2411 26th Ave,Forest Grove,OR,97116,467900.0,3.0,2.5,Pacific Woods,1729.0,,2021.0,33.0,271.0,25.0,Sold,,,https://www.redfin.com/OR/Forest-Grove/2411-26th-Ave-97116/home/176232962,RMLS,21545233.0,N,Y,45.5273762,-123.1034543
PAST SALE,December-8-2021,Single Family Residential,11000 NW Parson Rd,Forest Grove,OR,97116,885000.0,5.0,2.5,"Hillsboro, Forest Grove",2899.0,520977.0,1910.0,24.0,305.0,,Sold,,,https://www.redfin.com/OR/Forest-Grove/11000-NW-Parson-Rd-97116/home/40498955,RMLS,21474117.0,N,Y,45.600042,-123.214902
PAST SALE,December-7-2021,Single Family Residential,3426 Doubletree St,Forest Grove,OR,97116,640000.0,3.0,2.5,OAK HILL SETTLEMENT,2742.0,5662.0,2006.0,25.0,233.0,24.0,Sold,,,https://www.redfin.com/OR/Forest-Grove/3426-Doubletree-St-97116/home/25826769,RMLS,21513317.0,N,Y,45.5377195,-123.1289337
PAST SALE,November-9-2021,Single Family Residential,42069 NW Purdin Rd,Forest Grove,OR,97116,1194000.0,4.0,2.5,"Hillsboro, Forest Grove",2876.0,84070.0,1914.0,53.0,415.0,,Sold,,,https://www.redfin.com/OR/Forest-Grove/42069-NW-Purdin-Rd-97116/home/40511829,RMLS,21329946.0,N,Y,45.5485706,-123.1102705
PAST SALE,December-27-2021,Single Family Residential,3735 23rd Ave,Forest Grove,OR,97116,430000.0,3.0,1.0,"Hillsboro, Forest Grove",1056.0,7405.0,1971.0,5.0,407.0,,Sold,,,https://www.redfin.com/OR/Forest-Grove/3735-23rd-Ave-97116/home/26697606,RMLS,21457527.0,N,Y,45.5229872,-123.0815292
PAST SALE,November-15-2021,Single Family Residential,1078 Cedar St,Forest Grove,OR,97116,580000.0,4.0,3.0,"Hillsboro, Forest Grove",2518.0,11325.0,1996.0,47.0,230.0,,Sold,,,https://www.redfin.com/OR/Forest-Grove/1078-Cedar-St-97116/home/26569191,RMLS,21698619.0,N,Y,45.5091154,-123.1072783
PAST SALE,July-27-2021,Single Family Residential,1920 Hartford Dr,Forest Grove,OR,97116,479900.0,3.0,2.0,Lancaster Square,1501.0,6534.0,1998.0,158.0,320.0,,Sold,,,https://www.redfin.com/OR/Forest-Grove/1920-Hartford-Dr-97116/home/26661096,RMLS,21249022.0,N,Y,45.5368313,-123.112814
PAST SALE,July-6-2021,Single Family Residential,2111 Hawthorne St,Forest Grove,OR,97116,580995.0,4.0,2.0,"Hillsboro, Forest Grove",2325.0,18730.0,1866.0,179.0,250.0,,Sold,,,https://www.redfin.com/OR/Forest-Grove/2111-Hawthorne-St-97116/home/26689334,RMLS,21082377.0,N,Y,45.5213084,-123.0985776
PAST SALE,November-15-2021,Single Family Residential,16205 NW Parson Rd,Forest Grove,OR,97116,270000.0,3.0,1.0,"Hillsboro, Forest Grove",1020.0,82328.0,1969.0,47.0,265.0,,Sold,,,https://www.redfin.com/OR/Forest-Grove/16205-NW-Parson-Rd-97116/home/26643825,RMLS,21681920.0,N,Y,45.6376645,-123.233266
